Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Estado,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0012173,,2026-08-31,2026-08,Jeancarlos Castillo,RADIMEZA SOCIEDAD ANONIMA CERRADA,Cancelada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1260.0,1260.0
026-0012174,,2026-08-31,2026-08,Jeancarlos Castillo,RESEMIN S.A.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,20.0,1070.0,21400.0
026-0012175,,2026-08-31,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Cancelada,ENFRIADOR SISTEMA DE ACEITE HIDRAULICO CAT R1600H 558-1695,40600178,Heatex,1.0,2190.0,2190.0
026-0012176,,2026-08-31,2026-08,Jeancarlos Castillo,HEATFLUX INDUSTRIAL SOLUTIONS S.A.C.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1540.0,1309.0
026-0012177,,2026-08-31,2026-08,Jeancarlos Castillo,CORPORACION MACMINING E.I.R.L.,Cancelada,RADIADOR DE SISTEMA REFRIGERANTE P / CAT C4.4 P / 236-7766 BAR AND PLATE,40600295,Heatex,1.0,1590.0,1590.0
026-0012178,,2026-08-31,2026-08,Jeancarlos Castillo,CORPORACION MACMINING E.I.R.L.,Cancelada,RADIADOR COMPLETO P/CAT C4.4 236-7766 MEJORADO BAP C/C C/MOUNT*3 (copiar),40600337,Heatex,1.0,3120.0,3120.0
026-0012179,OPP-0000000303,2026-08-31,2026-08,Mario Li,"BARRA CCOLQUE JAIR RODOLFO, Jair Rodolfo Barra Ccolque",Enviada,INTERCAMBIADOR SOLDADO AC-30EQ-60H-F BPHE / 3288101432,40100186,Alfa Laval,1.0,4420.0,4420.0
026-0012180,OPP-0000000304,2026-09-04,2026-09,Arnold Hernández,FRESOMAC  S.A.C.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1540.0,1232.0
026-0012181,,2026-08-31,2026-08,Jeancarlos Castillo,ANTESA S.A.C.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1260.0,1260.0
026-0012182,OPP-0000000279,2026-08-31,2026-08,Manuel Alvarez,INCA RAIL S.A.,Borrador,SERVICIO MANTENIMIENTO,91000001,,1.0,1890.0,1890.0
026-0012183,OPP-0000000306,2026-09-02,2026-09,Arnold Hernández,HYDROMINING GROUP S.A.C.,Confirmada,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,1.0,590.0,590.0
026-0012183,OPP-0000000306,2026-09-02,2026-09,Arnold Hernández,HYDROMINING GROUP S.A.C.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,2.0,1309.0,2552.55
026-0012184,,2026-08-31,2026-08,Rintusac,GUIAL SOLUTIONS E.I.R.L.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN FC100 3876-2,40200283,Bowman,1.0,1180.0,1180.0
026-0012185,OPP-0000000308,2026-09-01,2026-09,Manuel Alvarez,MOTORES DIESEL ANDINOS S.A.- MODASA,Borrador,SERVICIO MANTENIMIENTO,91000001,,1.0,0,0
026-0012186,OPP-0000000309,2026-09-01,2026-09,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN GL140 3928-2 (3P) 90 / 10,40200108,Bowman,1.0,2363.0,2363.0
026-0012187,OPP-0000000310,2026-09-01,2026-09,Rintusac,RADIADORES ARNAO INDUSTRIAL S.A.C,Confirmada,"JEBE DESMONT. CENTRAL TIPO ""M"" MACHO HEATEX N / P 800829 * 14.88""",40600010,Heatex,28.0,20.0,560.0
026-0012188,OPP-0000000311,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,Enviada,JUNTA ANULAR TL6B-EPDMP-RIB RING GASKET GPHE / 3900728128,40100583,Alfa Laval,1.0,1784.39,1748.7
026-0012188,OPP-0000000311,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,Enviada,JUNTA PLACA DR6B-EPDMC / CG / RIB / LP GASKET GPHE / 390084041504,40100380,Alfa Laval,1.0,836.62,819.89
026-0012188,OPP-0000000311,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,Enviada,JUNTA PLACA DR6B-EPDMC / CG / RIB / LP GASKET GPHE / 390084041504,40100380,Alfa Laval,1.0,871.54,854.11
026-0012188,OPP-0000000311,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,Enviada,JUNTA PLACA M10B-NBRB-C / RIB GASKET GPHE / 3900175607,40100091,Alfa Laval,1.0,3079.22,3017.64
026-0012188,OPP-0000000311,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,Enviada,"PK / ARM. T6-B, LT, SS316, 0.5, NBRB GPHE / 8061000760",40100512,Alfa Laval,1.0,4699.41,4605.42
026-0012189,OPP-0000000312,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,Enviada,INTERCAMBIADOR DE PLACAS GPHE TL6-BFG 50PL-316-0.50-EPDMP EN1092,40100353,Alfa Laval,1.0,7673.83,7520.35
026-0012190,OPP-0000000313,2026-09-03,2026-09,Rintusac,L & G INTERNATIONAL PARTS S.A.C.,Confirmada,SERVICIO DE FABRICACION (copiar),90000012,Otros,99.3,6.67,662.84
026-0012191,OPP-0000000278,2026-09-01,2026-09,Manuel Alvarez,MASTERCOL S.A.,Enviada,SERVICIO MANTENIMIENTO,91000001,,1.0,1390.0,1390.0
026-0012192,,2026-09-02,2026-09,Arnold Hernández,HYDROMINING GROUP S.A.C.,Cancelada,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,1.0,590.0,590.0
026-0012193,OPP-0000000315,2026-09-01,2026-09,Jeancarlos Castillo,MARCO PERUANA S A,Enviada,SERVICIO MANTENIMIENTO,91000001,,2.0,6590.0,13180.0
026-0012193,OPP-0000000315,2026-09-01,2026-09,Jeancarlos Castillo,MARCO PERUANA S A,Enviada,SERVICIO MANTENIMIENTO,91000001,,2.0,6290.0,12580.0
