Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0012191,OPP-0000000278,2026-09-01,2026-09,Manuel Alvarez,MASTERCOL S.A.,SERVICIO MANTENIMIENTO,91000001,,1.0,1390.0,1390.0
026-0012193,OPP-0000000315,2026-09-01,2026-09,Jeancarlos Castillo,MARCO PERUANA S A,SERVICIO MANTENIMIENTO,91000001,,2.0,6590.0,13180.0
026-0012193,OPP-0000000315,2026-09-01,2026-09,Jeancarlos Castillo,MARCO PERUANA S A,SERVICIO MANTENIMIENTO,91000001,,2.0,6290.0,12580.0
026-0012196,OPP-0000000318,2026-09-02,2026-09,Manuel Alvarez,BJ CONTRATISTAS MINEROS S.A.C.,RADIADOR DE REFRIGERANTE P / MOTOR TCD 2013 6609B 25.8-13.E,40600041,Heatex,1.0,1190.0,1190.0
026-0012197,OPP-0000000319,2026-09-02,2026-09,Jeancarlos Castillo,TUMI CONTRATISTAS MINEROS S.A.C.,ENFRIADOR OIL HIDR. BOWMAN EC120 1425-3 (3P) 90 / 10,40200110,Bowman,2.0,590.0,1180.0
026-0012197,OPP-0000000319,2026-09-02,2026-09,Jeancarlos Castillo,TUMI CONTRATISTAS MINEROS S.A.C.,ENFRIADOR OIL HIDR. BOWMAN GL240-1428-4 (3P) 90 / 10,40200219,Bowman,2.0,2400.0,4800.0
026-0012201,OPP-0000000324,2026-09-02,2026-09,Jeancarlos Castillo,SISTEMAS CONVENCIONALES S.A.C.,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,2.0,1150.0,2300.0
026-0012202,OPP-0000000326,2026-09-03,2026-09,Arnold Hernández,PAN AMERICAN SILVER HUARON S.A.,SERVICIO REPARACION,92000001,,1.0,4200.0,3780.0
026-0012202,OPP-0000000326,2026-09-03,2026-09,Arnold Hernández,PAN AMERICAN SILVER HUARON S.A.,SERVICIO REPARACION,92000001,,1.0,2400.0,2160.0
026-0012204,OPP-0000000328,2026-09-03,2026-09,Manuel Alvarez,RADIADORES AREQUIPA S.A.C,SERVICIO MANTENIMIENTO,91000001,,500.0,35.0,17500.0
026-0012208,OPP-0000000332,2026-09-03,2026-09,Mercedes Quispe,W. ANGELES SERVICIOS GENERALES S.A.C.,SELLO DESMONT. C / CANAL HEATEX 721201B V2,40600476,Heatex,116.0,1.85,214.6
026-0012208,OPP-0000000332,2026-09-03,2026-09,Mercedes Quispe,W. ANGELES SERVICIOS GENERALES S.A.C.,SELLO DESMONT. S / CANAL HEATEX 721201T V2,40600477,Heatex,116.0,1.85,214.6
026-0012209,OPP-0000000333,2026-09-03,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,EK / ARM. REVEST. NBRP / SS EN1092-1 PN16 GPHE / T6FG 8061000770,40100440,Alfa Laval,1.0,146.04,140.2
026-0012209,OPP-0000000333,2026-09-03,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,JUNTA PLACA M6-NBRP-C / PEAK GASKET GPHE / 3233014046,40100135,Alfa Laval,43.0,27.44,1132.72
026-0012209,OPP-0000000333,2026-09-03,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,JUNTA PLACA M6-NBRP-C GASKET II GPHE / 390084017206,40100205,Alfa Laval,1.0,40.12,38.52
026-0012210,OPP-0000000334,2026-09-03,2026-09,Arnold Hernández,REICAL LTDA,PINZA MECANIZADA MESABI,75100001,RINTUSAC,6.0,270.0,1620.0
026-0012210,OPP-0000000334,2026-09-03,2026-09,Arnold Hernández,REICAL LTDA,TAPA P / RADIADOR N / P 4532-2 (IMPORTACION) 14 PSI,40600001,Heatex,4.0,100.0,400.0
026-0012211,OPP-0000000335,2026-09-04,2026-09,Jeancarlos Castillo,VPTM IQUITOS S.A.C.,SERVICIO MANTENIMIENTO,91000001,,45.0,35.8,1611.0
026-0012214,OPP-0000000338,2026-09-04,2026-09,Jeancarlos Castillo,SISTEMAS CONVENCIONALES S.A.C.,MOTOR HTX0367 1.5HP AC 230-460V IP65 (copiar),40600372,Heatex,1.0,390.0,390.0
026-0012216,OPP-0000000339,2026-09-04,2026-09,Jeancarlos Castillo,GESTION TECNICA MINERA E INDUSTRIAL PERU SOCIEDAD ANONIMA CERRADA - GESTEMIND PERU S.A.C.,ENFRIADOR OIL HIDR. BOWMAN EC120 1425-3TC (2P) COBRE (copiar),40200185,Bowman,1.0,1445.0,1083.75
026-0012216,OPP-0000000339,2026-09-04,2026-09,Jeancarlos Castillo,GESTION TECNICA MINERA E INDUSTRIAL PERU SOCIEDAD ANONIMA CERRADA - GESTEMIND PERU S.A.C.,ORING VITON BOWMAN GL OS63VT,40200142,Bowman,2.0,40.0,60.0
026-0012216,OPP-0000000339,2026-09-04,2026-09,Jeancarlos Castillo,GESTION TECNICA MINERA E INDUSTRIAL PERU SOCIEDAD ANONIMA CERRADA - GESTEMIND PERU S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,300.0,225.0
026-0012219,OPP-0000000342,2026-09-04,2026-09,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,SERVICIO REPARACION,92000001,,1.0,7010.0,6309.0
026-0012223,OPP-0000000346,2026-09-05,2026-09,Mario Li,MANTENIMIENTO E INGENIERIA EN OPERACIONES UNITARIAS S.A.C.,INTERCAMBIADOR SOLDADO AlfaNova 52-50H BPHE / 3287000943,40100193,Alfa Laval,1.0,3250.0,3250.0
026-0012225,OPP-0000000348,2026-09-05,2026-09,Jeancarlos Castillo,ZANINGROUP MINING AND CONSTRUCTION S.A.C.-ZANINGROUP S.A.C.,ENFRIADOR OIL HIDR. BOWMAN GL140 3928-2 (3P) 90 / 10,40200108,Bowman,1.0,2240.0,2240.0
026-0012226,OPP-0000000349,2026-09-07,2026-09,Mercedes Quispe,GESTION MINERA INTEGRAL S.A.C.,SERVICIO MANTENIMIENTO,91000001,,1.0,1520.0,1520.0
026-0012227,OPP-0000000351,2026-09-07,2026-09,Jeancarlos Castillo,MINERA IRL S.A.,JUNTA PLACA DR6P-EPDMC / CG / RIB / LP GASKET GPHE / 390084041304,40100402,Alfa Laval,16.0,41.5,664.0
026-0012227,OPP-0000000351,2026-09-07,2026-09,Jeancarlos Castillo,MINERA IRL S.A.,JUNTA PLACA DR6P-EPDMP / CG GASKET II GPHE / 390084041428,40100403,Alfa Laval,2.0,61.9,123.8
026-0012227,OPP-0000000351,2026-09-07,2026-09,Jeancarlos Castillo,MINERA IRL S.A.,PLACA DR6P1-316-0.5-4H MET.COMPLETE PLATE GPHE / 390300197703,40100426,Alfa Laval,7.0,110.0,770.0
026-0012227,OPP-0000000351,2026-09-07,2026-09,Jeancarlos Castillo,MINERA IRL S.A.,PLACA DR6P1-316-0.6-0H MET.COMPLETE PLATE GPHE / 390300197816,40100405,Alfa Laval,1.0,122.0,122.0
026-0012227,OPP-0000000351,2026-09-07,2026-09,Jeancarlos Castillo,MINERA IRL S.A.,PLACA DR6P1-316-0.6-4H MET.COMPLETE PLATE GPHE / 390300197803,40100404,Alfa Laval,1.0,122.0,122.0
026-0012227,OPP-0000000351,2026-09-07,2026-09,Jeancarlos Castillo,MINERA IRL S.A.,PLACA DR6P2-316-0.5-4H MET.COMPLETE PLATE GPHE / 390300199303,40100409,Alfa Laval,8.0,110.0,880.0
026-0012229,OPP-0000000360,2026-09-07,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,INTERCAMBIADOR DE PLACAS GPHE M10-MFG 30PL-316-0.50-NBRP EN1092,40100215,Alfa Laval,1.0,14879.71,14582.12
026-0012231,OPP-0000000372,2026-09-07,2026-09,Arnold Hernández,COMPAÑIA MINERA CHUNGAR S.A.C.,SERVICIO REPARACION,92000001,,1.0,2590.0,2331.0
